stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
10081,10081,Southbound Pembina at Ebby,49.86088533775143,-97.14992162993977,http://www.winnipegtransit.com/stops/10081
10082,10082,Northbound Pembina at Jackson,49.85963978789713,-97.15021966207794,http://www.winnipegtransit.com/stops/10082
10083,10083,Northbound Pembina at Taylor,49.858382256498274,-97.15089380848178,http://www.winnipegtransit.com/stops/10083
10085,10085,Northbound Pembina at Stafford,49.856528635468244,-97.15198023704131,http://www.winnipegtransit.com/stops/10085
10086,10086,Southbound Pembina at Stafford,49.85686635625415,-97.15228736039526,http://www.winnipegtransit.com/stops/10086
10087,10087,Northbound Stafford Bus Loop at Stafford Loop,49.857389306247974,-97.15236480709565,http://www.winnipegtransit.com/stops/10087
10088,10088,Southbound Stafford at Taylor,49.85809071169907,-97.15347897808635,http://www.winnipegtransit.com/stops/10088
10089,10089,Northbound Stafford at Ebby,49.85930729462343,-97.15418395854037,http://www.winnipegtransit.com/stops/10089
10090,10090,Southbound Stafford at Ebby,49.85936655401476,-97.15451563846483,http://www.winnipegtransit.com/stops/10090
10091,10091,Northbound Stafford at Carter,49.86068334625883,-97.1553003325384,http://www.winnipegtransit.com/stops/10091
10092,10092,Southbound Stafford at Carter,49.86061497536657,-97.15552556781051,http://www.winnipegtransit.com/stops/10092
10093,10093,Northbound Stafford at Grant,49.862086577811525,-97.1564296490461,http://www.winnipegtransit.com/stops/10093
10094,10094,Southbound Stafford at Grant,49.862246488246484,-97.15686883921958,http://www.winnipegtransit.com/stops/10094
10095,10095,Northbound Stafford at Dudley,49.863408228171195,-97.15752038775958,http://www.winnipegtransit.com/stops/10095
10096,10096,Southbound Stafford at Dudley,49.863385465150394,-97.15778564341191,http://www.winnipegtransit.com/stops/10096
10097,10097,Northbound Stafford at Fleet,49.86508510920402,-97.15888990766324,http://www.winnipegtransit.com/stops/10097
10098,10098,Southbound Stafford at Fleet,49.865217157104595,-97.15927452879126,http://www.winnipegtransit.com/stops/10098
10099,10099,Northbound Stafford at Warsaw,49.8664788751777,-97.15999195447144,http://www.winnipegtransit.com/stops/10099
10100,10100,Southbound Stafford at Warsaw,49.866501496842524,-97.16028333374213,http://www.winnipegtransit.com/stops/10100
10101,10101,Northbound Stafford at Corydon,49.86798183214363,-97.16117341609117,http://www.winnipegtransit.com/stops/10101
10102,10102,Southbound Stafford at Corydon,49.86817768362978,-97.16161131012191,http://www.winnipegtransit.com/stops/10102
10103,10103,Northbound Stafford at Dorchester,49.86955801927465,-97.1624356724031,http://www.winnipegtransit.com/stops/10103
10104,10104,Southbound Stafford at Dorchester,49.86972667652312,-97.1628607003537,http://www.winnipegtransit.com/stops/10104
10105,10105,Northbound Stafford at Grosvenor,49.87045048177888,-97.16312549874169,http://www.winnipegtransit.com/stops/10105
10106,10106,Northbound Stafford at Harvard,49.872392629447205,-97.16477762196722,http://www.winnipegtransit.com/stops/10106
10107,10107,Southbound Stafford at Harvard,49.872388491041306,-97.16508397094127,http://www.winnipegtransit.com/stops/10107
10108,10108,Northbound Stafford at Kingsway,49.873368409988906,-97.1656174721763,http://www.winnipegtransit.com/stops/10108
