service_id,date,exception_type
8473-exception,20131223,2
8473-exception,20131224,2
8473-exception,20131225,2
8473-exception,20131226,2
8473-exception,20131227,2
8473-exception,20131228,2
8473-exception,20131229,2
8473-exception,20131230,2
8473-exception,20131231,2
8473-exception,20140101,2
8473-exception,20140102,2
8473-exception,20140103,2
3494-exception,20131205,2
3494-exception,20131206,2
3494-exception,20131207,2
3494-exception,20131208,2
3494-exception,20131209,2
3494-exception,20131210,2
3494-exception,20131211,2
3494-exception,20131212,2
3494-exception,20131213,2
3494-exception,20131214,2
3494-exception,20131215,2
3494-exception,20131216,2
3494-exception,20131217,2
3494-exception,20131218,2
3494-exception,20131219,2
3494-exception,20131220,2
3494-exception,20131221,2
3494-exception,20131222,2
3494-exception,20131223,2
3494-exception,20131224,2
3494-exception,20131225,2
3494-exception,20131226,2
3494-exception,20131227,2
3494-exception,20131228,2
3494-exception,20131229,2
3494-exception,20131230,2
3494-exception,20131231,2
3494-exception,20140101,2
3494-exception,20140102,2
3494-exception,20140103,2
1329-exception,20131205,2
1329-exception,20131206,2
1329-exception,20131207,2
1329-exception,20131208,2
1329-exception,20131209,2
1329-exception,20131210,2
1329-exception,20131211,2
1329-exception,20131212,2
1329-exception,20131213,2
1329-exception,20131214,2
1329-exception,20131215,2
1329-exception,20131216,2
1329-exception,20131217,2
1329-exception,20131218,2
1329-exception,20131219,2
1329-exception,20131220,2
1329-exception,20131221,2
1329-exception,20131222,2
1329-exception,20131223,2
1329-exception,20131224,2
1329-exception,20131225,2
1329-exception,20131226,2
1329-exception,20131227,2
1329-exception,20131228,2
1329-exception,20131229,2
1329-exception,20131230,2
1329-exception,20131231,2
1329-exception,20140101,2
1329-exception,20140102,2
1329-exception,20140103,2
8333-exception,20131205,2
8333-exception,20131206,2
8333-exception,20131207,2
8333-exception,20131208,2
8333-exception,20131209,2
8333-exception,20131210,2
8333-exception,20131211,2
8333-exception,20131212,2
8333-exception,20131213,2
8333-exception,20131214,2
8333-exception,20131215,2
8333-exception,20131216,2
8333-exception,20131217,2
8333-exception,20131218,2
8333-exception,20131219,2
8333-exception,20131220,2
8333-exception,20131221,2
8333-exception,20131222,2
8333-exception,20131223,2
8333-exception,20131224,2
8333-exception,20131225,2
8333-exception,20131226,2
8333-exception,20131227,2
8333-exception,20131228,2
8333-exception,20131229,2
8333-exception,20131230,2
8333-exception,20131231,2
8333-exception,20140101,2
8333-exception,20140102,2
8333-exception,20140103,2
2015-exception,20131205,2
2015-exception,20131206,2
2015-exception,20131207,2
2015-exception,20131208,2
2015-exception,20131209,2
2015-exception,20131210,2
2015-exception,20131211,2
2015-exception,20131212,2
2015-exception,20131213,2
2015-exception,20131214,2
2015-exception,20131215,2
2015-exception,20131216,2
2015-exception,20131217,2
2015-exception,20131218,2
2015-exception,20131219,2
2015-exception,20131220,2
2015-exception,20131221,2
2015-exception,20131222,2
2015-exception,20131223,2
2015-exception,20131224,2
2015-exception,20131225,2
2015-exception,20131226,2
2015-exception,20131227,2
2015-exception,20131228,2
2015-exception,20131229,2
2015-exception,20131230,2
2015-exception,20131231,2
2015-exception,20140101,2
2015-exception,20140102,2
2015-exception,20140103,2
646-exception,20131205,2
646-exception,20131206,2
646-exception,20131207,2
646-exception,20131208,2
646-exception,20131209,2
646-exception,20131210,2
646-exception,20131211,2
646-exception,20131212,2
646-exception,20131213,2
646-exception,20131214,2
646-exception,20131215,2
646-exception,20131216,2
646-exception,20131217,2
646-exception,20131218,2
646-exception,20131219,2
646-exception,20131220,2
646-exception,20131221,2
646-exception,20131222,2
646-exception,20131223,2
646-exception,20131224,2
646-exception,20131225,2
646-exception,20131226,2
646-exception,20131227,2
646-exception,20131228,2
646-exception,20131229,2
646-exception,20131230,2
646-exception,20131231,2
646-exception,20140101,2
646-exception,20140102,2
646-exception,20140103,2
629-exception,20131205,2
629-exception,20131206,2
629-exception,20131207,2
629-exception,20131208,2
629-exception,20131209,2
629-exception,20131210,2
629-exception,20131211,2
629-exception,20131212,2
629-exception,20131213,2
629-exception,20131214,2
629-exception,20131215,2
629-exception,20131216,2
629-exception,20131217,2
629-exception,20131218,2
629-exception,20131219,2
629-exception,20131220,2
629-exception,20131221,2
629-exception,20131222,2
629-exception,20131223,2
629-exception,20131224,2
629-exception,20131225,2
629-exception,20131226,2
629-exception,20131227,2
629-exception,20131228,2
629-exception,20131229,2
629-exception,20131230,2
629-exception,20131231,2
629-exception,20140101,2
629-exception,20140102,2
629-exception,20140103,2
5003-exception,20131205,2
5003-exception,20131206,2
5003-exception,20131207,2
5003-exception,20131208,2
5003-exception,20131209,2
5003-exception,20131210,2
5003-exception,20131211,2
5003-exception,20131212,2
5003-exception,20131213,2
5003-exception,20131214,2
5003-exception,20131215,2
5003-exception,20131216,2
5003-exception,20131217,2
5003-exception,20131218,2
5003-exception,20131219,2
5003-exception,20131220,2
5003-exception,20131221,2
5003-exception,20131222,2
5003-exception,20131223,2
5003-exception,20131224,2
5003-exception,20131225,2
5003-exception,20131226,2
5003-exception,20131227,2
5003-exception,20131228,2
5003-exception,20131229,2
5003-exception,20131230,2
5003-exception,20131231,2
5003-exception,20140101,2
5003-exception,20140102,2
5003-exception,20140103,2
3263-exception,20131205,2
3263-exception,20131206,2
3263-exception,20131207,2
3263-exception,20131208,2
3263-exception,20131209,2
3263-exception,20131210,2
3263-exception,20131211,2
3263-exception,20131212,2
3263-exception,20131213,2
3263-exception,20131214,2
3263-exception,20131215,2
3263-exception,20131216,2
3263-exception,20131217,2
3263-exception,20131218,2
3263-exception,20131219,2
3263-exception,20131220,2
3263-exception,20131221,2
3263-exception,20131222,2
3263-exception,20131223,2
